AL 02,Dexterity,Controlling Strength,No,The success rate of an alteration using a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Controlling_Strength_(AL_02),
AL 03,Dexterity,Controlling Strength,No,The success rate of an alteration using a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Controlling_Strength_(AL_03),
AL 04,Dexterity,Stripping,No,The success rate of an alteration without a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with an empty right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Stripping_(AL_04),
AL 05,Dexterity,Stripping,No,The success rate of an alteration without a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with an empty right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Stripping_(AL_05),
AL 06,Dexterity,Stripping,No,The success rate of an alteration without a tool is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with an empty right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Stripping_(AL_06),
AL 07,Dexterity,Fine Motor Skill,No,The success rate of all alteration modes is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand or bare hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Fine_Motor_Skill_(AL_07),
DE 01,Dexterity,Item Manipulation,No,The ability to switch an item from one hand to the other while moving is acquired.,TAP (button) to switch an item from one hand to the other while moving.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Item_Manipulation_(DE_01),
DE 02,Dexterity,Carrying Ability,No,The ability to carry an item using both hands is acquired.,HOLD (button) near a heavy or big item to carry it using both hands.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Ability_(DE_02),
DE 03,Dexterity,Carrying Ability,No,Movement speed while carrying an item using both hands is increased.,HOLD (button) near a heavy or big item to carry it using both hands.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Ability_(DE_03),
DE 04,Dexterity,Carrying Ability,No,Movement speed while carrying an item using both hands is increased.,HOLD (button) near a heavy or big item to carry it using both hands.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Carrying_Ability_(DE_04),
DE 05,Dexterity,Gross Motor Skill,No,The success rate for using a tool successfully is increased.,,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Gross_Motor_Skill_(DE_05),
DE 06,Dexterity,Applied Force,No,The success rate of all alteration modes is increased.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with your bare hands or with a tool.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Applied_Force_(DE_06),
HA 01,Dexterity,Handling,No,The ability to drop an item while moving is acquired.,TAP (button) to drop an item while moving.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Handling_(HA_01),
HA 02,Dexterity,Grasp Control,No,The chances of dropping an item following a dodge are minimized. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Grasp_Control_(HA_02),
HA 03,Dexterity,Grasp Control,No,The chances of dropping an item following a dodge are minimized. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Grasp_Control_(HA_03),
HA 04,Dexterity,Grasp Control,No,The chances of dropping an item following a dodge are minimized. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Grasp_Control_(HA_04),
HA 05,Dexterity,True Grip,No,The items always remain in hands after a dodge. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/True_Grip_(HA_05),
WH 01,Dexterity,Kinesthetic Sense,No,The success rate of a counterattack is increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Kinesthetic_Sense_(WH_01),
WH 02,Dexterity,Kinesthetic Sense,No,The success rate of a counterattack is increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Kinesthetic_Sense_(WH_02),
WH 03,Dexterity,Thrusting Aim,No,The success rate of a counterattack on a predator is increased. MOVE (button) to face the predator.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Thrusting_Aim_(WH_03),
WH 04,Dexterity,Thrusting Aim,No,The success rate of a counterattack on an irascible animal is increased. MOVE (button) to face the irascible aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Thrusting_Aim_(WH_04),
WH 05,Dexterity,Thrusting Aim,No,The success rate of a counterattack on a wildlife animal is increased. MOVE (button) to face the animal.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Thrusting_Aim_(WH_05),
WH 06,Dexterity,True Aim,No,The success rate of a counterattack is maximized. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/True_Aim_(WH_06),
BB AL 01,Dexterity,Manual Dexterity,Yes,Fewer hits are required to successfully craft items using a tool.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Manual_Dexterity_(BB_AL_01),
BB AL 01-2,Dexterity,Manual Dexterity,Yes,Fewer hits are required to successfully craft items using a tool.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Manual_Dexterity_(BB_AL_01-2),
BB AL 01-3,Dexterity,Manual Dexterity,Yes,Fewer hits are required to successfully craft items using a tool.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Manual_Dexterity_(BB_AL_01-3),
BB AL 01-4,Dexterity,Manual Dexterity,Yes,Fewer hits are required to successfully craft items using a tool.,"TAP (button) to switch an item from one hand to the other. HOLD (button) to take position to alter, then follow the steps proposed by the Contextual UI, with a tool in right hand.",Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Manual_Dexterity_(BB_AL_01-4),
BB WH 01,Dexterity,Proprioceptor Efficiency,Yes,The probabilities of inflicting a lethal blow are increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioceptor_Efficiency_(BB_WH_01),
BB WH 01-2,Dexterity,Proprioceptor Efficiency,Yes,The probabilities of inflicting a lethal blow are increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioceptor_Efficiency_(BB_WH_01-2),
BB WH 01-3,Dexterity,Proprioceptor Efficiency,Yes,The probabilities of inflicting a lethal blow are increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioceptor_Efficiency_(BB_WH_01-3),
BB WH 01-4,Dexterity,Proprioceptor Efficiency,Yes,The probabilities of inflicting a lethal blow are increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioceptor_Efficiency_(BB_WH_01-4),
BB WH 01-5,Dexterity,Proprioceptor Efficiency,Yes,The probabilities of inflicting a lethal blow are increased. MOVE (button) to face the aggressor.,HOLD (button) to prime counterattack. RELEASE (button) at the right time to counterattack.,Dexterity (neuronal branch); https://ancestors.fandom.com/wiki/Proprioceptor_Efficiency_(BB_WH_01-5),
DO 01,Dodge,Flee Response,No,The preparation speed for dodging an aggressor is increased. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Flee_Response_(DO_01),
DO 02,Dodge,Evasive Action,No,The preparation speed for dodging a predator is increased. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Evasive_Action_(DO_02),
DO 04,Dodge,Evasive Action,No,The preparation speed for dodging a wildlife animal is increased. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Evasive_Action_(DO_04),
DO 05,Dodge,Withdrawal Reflex,No,The preparation speed for dodging is maximized. MOVE (button) to choose direction.,HOLD (button) to prime dodging. RELEASE (button) at the right time to dodge.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Withdrawal_Reflex_(DO_05),
DO 06,Dodge,Ataraxia,No,A dose of dopamine is secreted following the success of dodging or counterattacking. MOVE (button) to choose direction.,HOLD (button) to prime dodging or counterattack. RELEASE (button) at the right time to dodge or counterattack.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Ataraxia_(DO_06),
DO 07,Dodge,Group Preservation,No,"Clan members have the ability to dodge an attack, if they don't have a weapon in hand.",,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Group_Preservation_(DO_07),
BB DO 01,Dodge,Infundibular Pathway,Yes,A dose of dopamine is secreted following the success of dodging or counterattacking. MOVE (button) to choose direction.,HOLD (button) to prime dodging or counterattack. RELEASE (button) at the right time to dodge or counterattack.,Dodge (neuronal branch); https://ancestors.fandom.com/wiki/Infundibular_Pathway_(BB_DO_01),
