slug,label_it,label_en,tier,external_code,status
capsule_paracadute,Capsule Paracadute,Capsule Paracadute,T1,,missing_in_external
carapace_fase_variabile,Carapace a Variazione di Fase,Phase-Shifting Carapace,T1,,missing_in_external
carapace_luminiscente_abissale,Carapace Luminiscente Abissale,Carapace Luminiscente Abissale,T3,,missing_in_external
carapace_segmenti_logici,Carapace Segmenti Logici,Carapace Segmenti Logici,T1,,missing_in_external
carapaci_ferruginosi,Carapaci Ferruginosi,Carapaci Ferruginosi,T1,,missing_in_external
cartilagine_flessotermica_venti,Cartilagine Flessotermica dei Venti,Cartilagine Flessotermica dei Venti,T2,,missing_in_external
cartilagini_biofibre,Cartilagini Biofibre,Cartilagini Biofibre,T1,,missing_in_external
cartilagini_desertiche,Cartilagini Desertiche,Cartilagini Desertiche,T1,,missing_in_external
cartilagini_flessoacustiche,Cartilagini Flessoacustiche,Cartilagini Flessoacustiche,T1,,missing_in_external
cartilagini_pseudometalliche,Cartilagini Pseudometalliche,Cartilagini Pseudometalliche,T1,,missing_in_external
cavita_risonanti_tundra,Cavità Risonanti della Tundra,Cavità Risonanti della Tundra,T1,,missing_in_external
cervelletto_equilibrio_statico,Cervelletto Equilibrio Statico,Cervelletto Equilibrio Statico,T1,,missing_in_external
chemiorecettori_bromuro,Chemiorecettori Bromuro,Chemiorecettori Bromuro,T1,,missing_in_external
chioma_parassita_canopica,Chioma Parassita Canopica,Chioma Parassita Canopica,T1,,missing_in_external
circolazione_bifasica,Circolazione Bifasica,Circolazione Bifasica,T1,,missing_in_external
circolazione_bifasica_palude,Circolazione Bifasica di Palude,Swamp Biphase Circulation,T2,,missing_in_external
circolazione_cooling_loop,Circolazione Cooling Loop,Circolazione Cooling Loop,T1,,missing_in_external
circolazione_doppia,Circolazione Doppia,Circolazione Doppia,T1,,missing_in_external
circolazione_supercritica,Circolazione Supercritica,Circolazione Supercritica,T1,,missing_in_external
ciste_riduttive,Ciste Riduttive,Ciste Riduttive,T1,,missing_in_external
ciste_salmastre,Ciste Salmastre,Ciste Salmastre,T1,,missing_in_external
cisti_iperbariche,Cisti Iperbariche,Cisti Iperbariche,T1,,missing_in_external
coda_balanciere,Coda Balanciere,Coda Balanciere,T1,,missing_in_external
coda_contrappeso,Coda Contrappeso,Coda Contrappeso,T1,,missing_in_external
coda_coppia_retroattiva,Coda Coppia Retroattiva,Coda Coppia Retroattiva,T1,,missing_in_external
coda_frusta_cinetica,Coda a Frusta Cinetica,Kinetic Lash Tail,T1,,missing_in_external
coda_stabilizzatrice_filo,Coda Stabilizzatrice Filo,Coda Stabilizzatrice Filo,T1,,missing_in_external
coda_stabilizzatrice_geiser,Coda Stabilizzatrice Geiser,Coda Stabilizzatrice Geiser,T1,,missing_in_external
coda_stabilizzatrice_vortex,Coda Stabilizzatrice Vortex,Coda Stabilizzatrice Vortex,T1,,missing_in_external
colonne_vibromagnetiche,Colonne Vibromagnetiche,Colonne Vibromagnetiche,T1,,missing_in_external
coralli_partner,Coralli Partner,Coralli Partner,T1,,missing_in_external
coralli_sinaptici_fotofase,Coralli Sinaptici Fotofase,Photophase Synaptic Corals,,,missing_in_external
corazze_ferro_magnetico,Corazze Ferro-Magnetico,Ferro-Magnetic Carapace,,,missing_in_external
coscienza_d_alveare_diffusa,Coscienza d’Alveare Diffusa,Diffuse Hive Consciousness,T4,,missing_in_external
coscienza_dalveare_diffusa,Coscienza d’Alveare Diffusa,Coscienza d’Alveare Diffusa,T4,TR-2002,missing_in_index
criostasi_adattiva,Criostasi,Adaptive Cryostasis,T1,,missing_in_external
cromofori_alert_acido,Cromofori Alert Acido,Cromofori Alert Acido,T1,,missing_in_external
cuore_multicamera_bassa_pressione,Cuore Multicamera Bassa Pressione,Cuore Multicamera Bassa Pressione,T1,,missing_in_external
cuscinetti_elettrostatici,Cuscinetti Elettrostatici,Cuscinetti Elettrostatici,T1,,missing_in_external
cute_resistente_sali,Cute Resistente Sali,Cute Resistente Sali,T2,,missing_in_external
cuticole_cerose,Cuticole Cerose,Cuticole Cerose,T1,,missing_in_external
cuticole_neutralizzanti,Cuticole Neutralizzanti,Cuticole Neutralizzanti,T1,,missing_in_external
denti_chelatanti,Denti Chelatanti,Denti Chelatanti,T1,,missing_in_external
denti_ossidoferro,Denti Ossidoferro,Denti Ossidoferro,T1,,missing_in_external
denti_silice_termici,Denti Silice Termici,Denti Silice Termici,T1,,missing_in_external
denti_tuning_fork,Denti Tuning Fork,Denti Tuning Fork,T1,,missing_in_external
echi_risonanti,Echi Risonanti,Echi Risonanti,T1,,missing_in_external
eco_interno_riflesso,Riflesso dell'Eco Interno,Internal Echo Reflex,T2,,missing_in_external
emettitori_voidsong,Emettitori Voidsong,Voidsong Emitters,,,missing_in_external
emolinfa_conducente,Emolinfa Conducente,Conductive Hemolymph,,,missing_in_external
empatia_coordinativa,Empatia Coordinativa,Coordinated Empathy,T1,,missing_in_external
enzimi_antifase_termica,Enzimi Antifase Termica,Enzimi Antifase Termica,T1,,missing_in_external
enzimi_antipredatori_algali,Enzimi Antipredatori Algali,Enzimi Antipredatori Algali,T1,,missing_in_external
enzimi_chelanti,Enzimi Chelanti,Enzimi Chelanti,T1,,missing_in_external
enzimi_chelatori_rapidi,Enzimi Chelatori Rapidi,Enzimi Chelatori Rapidi,T1,,missing_in_external
enzimi_metanoossidanti,Enzimi Metanoossidanti,Enzimi Metanoossidanti,T1,,missing_in_external
epidermide_dielettrica,Epidermide Dielettrica,Epidermide Dielettrica,T1,,missing_in_external
epitelio_fosforescente,Epitelio Fosforescente,Epitelio Fosforescente,T1,,missing_in_external
filamenti_digestivi_compattanti,Filamenti Digestivi Compattanti,Digestive Compaction Filaments,T2,,missing_in_external
filamenti_echo,Filamenti Echo,Echo Filaments,,,missing_in_external
filamenti_guidalampo,Filamenti Guidalampo,Lightning Guide Filaments,,,missing_in_external
filamenti_magnetotrofi,Filamenti Magnetotrofi,Filamenti Magnetotrofi,T1,,missing_in_external
filamenti_superconduttivi,Filamenti Superconduttivi,Filamenti Superconduttivi,T1,,missing_in_external
filamenti_termoconduzione,Filamenti Termoconduzione,Filamenti Termoconduzione,T1,,missing_in_external
filtri_planctonici,Filtri Planctonici,Filtri Planctonici,T1,,missing_in_external
flagelli_ancoranti,Flagelli Ancoranti,Flagelli Ancoranti,T1,,missing_in_external
focus_frazionato,Focus Frazionato,Fractional Focus,T1,,missing_in_external
foliage_fotocatodico,Foliage Fotocatodico,Foliage Fotocatodico,T1,,missing_in_external
foliaggio_spugna,Foliaggio Spugna,Foliaggio Spugna,T1,,missing_in_external
frusta_fiammeggiante,Frusta Fiammeggiante,Flame Lash,T2,,missing_in_external
ghiaccio_piezoelettrico,Ghiaccio Piezoelettrico,Ghiaccio Piezoelettrico,T1,,missing_in_external
ghiandola_caustica,Ghiandola Caustica,Caustic Gland,T1,,missing_in_external
ghiandole_cambio_salino,Ghiandole Cambio Salino,Ghiandole Cambio Salino,T1,,missing_in_external
ghiandole_condensa_ozono,Ghiandole Condensa Ozono,Ghiandole Condensa Ozono,T1,,missing_in_external
ghiandole_eco_mappanti,Ghiandole Eco Mappanti,Ghiandole Eco Mappanti,T1,,missing_in_external
ghiandole_fango_calde,Ghiandole Fango Calde,Ghiandole Fango Calde,T1,,missing_in_external
ghiandole_fango_coesivo,Ghiandole Fango Coesivo,Ghiandole Fango Coesivo,T1,,missing_in_external
ghiandole_grafene,Ghiandole Grafene,Ghiandole Grafene,T1,,missing_in_external
ghiandole_inchiostro_luce,Ghiandole Inchiostro Luce,Ghiandole Inchiostro Luce,T1,,missing_in_external
ghiandole_iodoattive,Ghiandole Iodoattive,Ghiandole Iodoattive,T1,,missing_in_external
ghiandole_minerali,Ghiandole Minerali,Ghiandole Minerali,T1,,missing_in_external
ghiandole_mnemoniche,Ghiandole Mnemoniche,Mnemonic Glands,,,missing_in_external
ghiandole_nebbia_acida,Ghiandole Nebbia Acida,Ghiandole Nebbia Acida,T1,,missing_in_external
ghiandole_nebbia_ionica,Ghiandole Nebbia Ionica,Ghiandole Nebbia Ionica,T1,,missing_in_external
ghiandole_resina_conduttiva,Ghiandole Resina Conduttiva,Ghiandole Resina Conduttiva,T1,,missing_in_external
ghiandole_ventosa,Ghiandole Ventosa,Ghiandole Ventosa,T1,,missing_in_external
giunti_antitorsione,Giunti Antitorsione,Giunti Antitorsione,T1,,missing_in_external
grassi_termici,Grassi Termici,Grassi Termici,T1,,missing_in_external
gusci_criovetro,Gusci Criovetro,Gusci Criovetro,T1,,missing_in_external
gusci_magnesio,Gusci Magnesio,Gusci Magnesio,T1,,missing_in_external
impulsi_bioluminescenti,Impulsi Bioluminescenti,Bioluminescent Pulses,,,missing_in_external
lamelle_shear,Lamelle Shear,Lamelle Shear,T1,,missing_in_external
lamelle_sincroniche,Lamelle Sincroniche,Lamelle Sincroniche,T1,,missing_in_external
lamelle_termoforetiche,Lamelle Termoforetiche,Thermophoretic Lamellae,T2,,missing_in_external
lamine_filtranti_aeree,Lamine Filtranti Aeree,Lamine Filtranti Aeree,T1,,missing_in_external
lamine_scudo_silice,Lamine Scudo Silice,Lamine Scudo Silice,T1,,missing_in_external
linfa_tampone,Linfa Tampone,Linfa Tampone,T1,,missing_in_external
lingua_cristallina,Lingua Cristallina,Lingua Cristallina,T1,,missing_in_external
lingua_tattile_trama,Lingua Tattile Trama-Sensibile,Texture-Sensing Tongue,T1,,missing_in_external
lobi_risonanti_crepuscolo,Lobi Risonanti Crepuscolo,Twilight Resonant Lobes,,,missing_in_external
luminescenza_aurorale,Luminescenza Aurorale,Luminescenza Aurorale,T1,,missing_in_external
luminescenza_hydrotermica,Luminescenza Hydrotermica,Luminescenza Hydrotermica,T1,,missing_in_external
mantelli_geotermici,Mantelli Geotermici,Mantelli Geotermici,T1,,missing_in_external
mantello_meteoritico,Mantello Meteoritico,Meteoric Mantle,T3,,missing_in_external
membrane_captura_rugiada,Membrane Captura Rugiada,Membrane Captura Rugiada,T1,,missing_in_external
membrane_eliofiltranti,Membrane Eliofiltranti,Membrane Eliofiltranti,T2,,missing_in_external
membrane_fotoconvoglianti,Membrane Fotoconvoglianti,Photoconductive Membranes,,,missing_in_external
membrane_planata_vectored,Membrane Planata Vectored,Membrane Planata Vectored,T1,,missing_in_external
membrane_pneumatofori,Membrane Pneumatofori,Membrane Pneumatofori,T1,,missing_in_external
midollo_antivibrazione,Midollo Antivibrazione,Midollo Antivibrazione,T1,,missing_in_external
mimetismo_cromatico_passivo,Ghiandole di Mimetismo Cromatico Passivo,Passive Chromatic Mimicry,T1,,missing_in_external
mucillagine_simbionte_mangrovie,Mucillagine Simbionte delle Mangrovie,Mucillagine Simbionte delle Mangrovie,T1,,missing_in_external
mucose_aderenza_sonica,Mucose Aderenza Sonica,Mucose Aderenza Sonica,T1,,missing_in_external
mucose_barofile,Mucose Barofile,Mucose Barofile,T1,,missing_in_external
nebbia_mnesica,Nebbia Mnesica,Mnesic Fog,,,missing_in_external
nodi_micorrizici_oracolari,Nodi Micorrizici Oracolari,Nodi Micorrizici Oracolari,T3,,missing_in_external
nodi_sinaptici_superficiali,Nodi Sinaptici Superficiali,Surface Synaptic Nodes,,,missing_in_external
nucleo_ovomotore_rotante,"Uovo rotaia, uovo grande e uova piccole dentro...",Rotating Ovomotor Core,T1,,missing_in_external
occhi_cristallo_modulare,Occhi di Cristallo Modulare,Occhi di Cristallo Modulare,T2,,missing_in_external
occhi_infrarosso_composti,Occhi Composti ad Infrarosso,Infrared Compound Eyes,T1,,missing_in_external
olfatto_risonanza_magnetica,Olfatto di Risonanza Magnetica,Magnetic Resonance Scent,T2,,missing_in_external
organi_metacronici,Organi Metacronici,Metachronic Organs,,,missing_in_external
pathfinder,Pathfinder,Pathfinder,T1,,missing_in_external
pelle_piezo_satura,Pelle Piezo-Satura,Piezo-Saturated Skin,,,missing_in_external
pianificatore,Pianificatore,Strategic Planner,T1,,missing_in_external
piume_solari_fotovoltaiche,Piume Solari Fotovoltaiche,Piume Solari Fotovoltaiche,T2,,missing_in_external
placca_diffusione_foschia,Placca di Diffusione Foschia,Fog Diffusion Plate,,,missing_in_external
placche_pressioniche,Placche Pressioniche,Pressure Plates,,,missing_in_external
polmoni_cristallini_alta_quota,Polmoni Cristallini d'Alta Quota,Polmoni Cristallini d'Alta Quota,T2,,missing_in_external
random,Trait Random,Trait Random,T1,,missing_in_external
respiro_a_scoppio,Respiro a scoppio,Burst Breath Propulsion,T1,,missing_in_external
risonanza_di_branco,Risonanza di Branco,Pack Resonance,T1,,missing_in_external
riverbero_memetico,Riverbero Memetico,Memetic Reverb,,,missing_in_external
sacche_galleggianti_ascensoriali,Sacche galleggianti ascensoriali,Elevating Buoyancy Sacs,T1,,missing_in_external
sacche_spore_stratosferiche,Sacche di Spore Stratosferiche,Sacche di Spore Stratosferiche,T3,,missing_in_external
sangue_piroforico,Sangue che prende fuoco a contatto con l'ossigeno,Pyrophoric Blood,T1,,missing_in_external
scheletro_idro_regolante,Scheletro Idro-Regolante,Hydro-Regulating Skeleton,T1,,missing_in_external
scintilla_sinaptica,Scintilla Sinaptica,Synaptic Spark,,,missing_in_external
secrezione_rallentante_palmi,Mani secernano liquido rallentante,Retarding Palm Secretions,T1,,missing_in_external
secrezioni_antistatiche,Secrezioni Antistatiche,Antistatic Secretions,,,missing_in_external
sensori_geomagnetici,Sensori a Risonanza Geomagnetica,Geomagnetic Resonance Sensors,T1,,missing_in_external
sensori_planctonici,Sensori Planctonici,Planctonic Sensors,,,missing_in_external
sinapsi_coraline_polifoniche,Sinapsi Coraline Polifoniche,Sinapsi Coraline Polifoniche,T2,,missing_in_external
sonno_emisferico_alternato,Dormire con solo metà cervello alla volta,Unihemispheric Sleep,T1,,missing_in_external
spicole_canalizzatrici,Spicole Canalizzatrici,Channeling Spicules,,,missing_in_external
spore_psichiche_silenziate,Spora Psichica Silenziosa,Silent Psychic Spores,T1,,missing_in_external
squame_diffusori_ionici,Squame Diffusori Ionici,Ionic Diffuser Scales,,,missing_in_external
squame_rifrangenti_deserto,Squame Rifrangenti del Deserto,Squame Rifrangenti del Deserto,T2,,missing_in_external
struttura_elastica_amorfa,"Struttura elastica, allungabile, amorfa, retrattile",Elastic Amorphous Frame,T1,,missing_in_external
tattiche_di_branco,Tattiche di Branco,Pack Tactics,T1,,missing_in_external
traits_aggregate,traits_aggregate,traits_aggregate,,traits_aggregate,missing_in_index
vello_condensatore_nebbie,Vello Condensatore di Nebbie,Vello Condensatore di Nebbie,T1,,missing_in_external
ventriglio_gastroliti,"Denti sonci (ciottoli/sassi), ti nutri di tutto",Gastrolith Grinding Gizzard,T1,,missing_in_external
vortice_nera_flash,Vortice Nera Flash,Black Vortex Flash,,,missing_in_external
zampe_a_molla,Zampe a Molla,Spring-Loaded Limbs,T1,,missing_in_external
zoccoli_risonanti_steppe,Zoccoli Risonanti delle Steppe,Zoccoli Risonanti delle Steppe,T1,,missing_in_external
