# Creature-domain bestiary -- canon render backup (75)
# Backup off-Ryzen della 75 render canonizzate. Sorgente: Ryzen C:/AI/creature-lora-dataset/p5_drafts/
# pass: original=Fase1 (p5v2_) | regen=Fase1-bis (p5v2b_) | restyle-d0.6=Fase1-quater (p5rs_)
# canon doc: docs/catalog/creature-domain-bestiary_assets_draft.md | generato 2026-06-23
#
# species_id	file	pass	ryzen_source	sha256_16
sp_radiluma_pendula	sp_radiluma_pendula.png	original	p5v2_sp_radiluma_pendula_00001_.png	e5e5a25002b17096
sp_rubrospina_velox	sp_rubrospina_velox.png	original	p5v2_sp_rubrospina_velox_00001_.png	a5afe1df29e5e4a1
sp_salifossa_tenebris	sp_salifossa_tenebris.png	original	p5v2_sp_salifossa_tenebris_00001_.png	bcec6a890bffa815
sp_salisucta_alveata	sp_salisucta_alveata.png	restyle-d0.6	p5rs_sp_salisucta_alveata_00001_.png	65e4b104bddb240d
sp_siltovena_bifida	sp_siltovena_bifida.png	original	p5v2_sp_siltovena_bifida_00001_.png	4a275bdb36c801b6
sp_sonapteryx_resonans	sp_sonapteryx_resonans.png	original	p5v2_sp_sonapteryx_resonans_00001_.png	5c0ae120b9a44cf5
sp_tempestarius_psionicus	sp_tempestarius_psionicus.png	original	p5v2_sp_tempestarius_psionicus_00001_.png	b84252610dd0a602
sp_tonitrudens_ferox	sp_tonitrudens_ferox.png	original	p5v2_sp_tonitrudens_ferox_00001_.png	0e91ab05a79d721b
sp_ventornis_longiala	sp_ventornis_longiala.png	original	p5v2_sp_ventornis_longiala_00001_.png	b96e21cdc9dc3085
sp_vitricyba_punctata	sp_vitricyba_punctata.png	restyle-d0.6	p5rs_sp_vitricyba_punctata_00001_.png	a7e39946f7f90936
sp_zephyrovum_fidelis	sp_zephyrovum_fidelis.png	original	p5v2_sp_zephyrovum_fidelis_00001_.png	f265c50619516829
steppe_bison_mini	steppe_bison_mini.png	original	p5v2_steppe_bison_mini_00001_.png	7ac031f2e62e7696
symbiotica_thermalis	symbiotica_thermalis.png	original	p5v2_symbiotica_thermalis_00001_.png	77322aec801dd3d5
terracetus_ambulator	terracetus_ambulator.png	original	p5v2_terracetus_ambulator_00001_.png	b9e11d134f74c165
thaw_rot	thaw_rot.png	original	p5v2_thaw_rot_00001_.png	8c8d9ce1692048dc
thermo_raptor	thermo_raptor.png	restyle-d0.6	p5rs_thermo_raptor_00001_.png	38df4f7e2c9c3785
umbra_alaris	umbra_alaris.png	restyle-d0.6	p5rs_umbra_alaris_00001_.png	0433069d6008b421
zephyr_spore_courier	zephyr_spore_courier.png	original	p5v2_zephyr_spore_courier_00001_.png	f622067a10d347f4
