old_id,native_candidate,collision,label_it,label_en,tier,category,effect_kind,status,prov_code,in_glossary,in_biome_pools,in_test,logtag_selfref
ancestor_comunicazione_paura_indotta_it_03,paura_indotta,INTRA_COLLISION(x2),Paura Indotta,Induced Fear,T1,neurologico,apply_status,linked,IT 03,True,False,False,False
ancestor_comunicazione_percezione_del_pericolo_it_04,percezione_del_pericolo,INTRA_COLLISION(x2),Percezione del Pericolo,Danger Perception,T1,neurologico,apply_status,linked,IT 04,True,False,False,False
ancestor_comunicazione_percezione_del_pericolo_it_05,percezione_del_pericolo,INTRA_COLLISION(x2),Percezione del Pericolo,Danger Perception,T1,neurologico,apply_status,linked,IT 05,True,False,False,False
ancestor_comunicazione_sicurezza_sociale_bb_cm_01,sicurezza_sociale,,Sicurezza Sociale,Social Confidence,T2,neurologico,apply_status,linked,BB CM 01,True,False,False,False
ancestor_comunicazione_specie_dominante_it_06,specie_dominante,,Specie Dominante,Dominant Species,T1,neurologico,apply_status,linked,IT 06,True,False,False,False
ancestor_comunicazione_unita_del_gruppo_cm_04,unita_del_gruppo,INTRA_COLLISION(x2),Unita' del Gruppo,Group Unity,T1,neurologico,apply_status,linked,CM 04,True,False,False,False
ancestor_comunicazione_unita_del_gruppo_cm_07,unita_del_gruppo,INTRA_COLLISION(x2),Unita' del Gruppo,Group Unity,T1,neurologico,apply_status,linked,CM 07,True,False,False,False
ancestor_deambulazione_forza_degli_arti_inferiori_bb_ab_04,forza_degli_arti_inferiori,INTRA_COLLISION(x3),Forza degli Arti Inferiori,Lower Body Strength,T2,neurologico,buff_stat,,BB AB 04,True,False,False,False
ancestor_deambulazione_forza_degli_arti_inferiori_bb_ab_05,forza_degli_arti_inferiori,INTRA_COLLISION(x3),Forza degli Arti Inferiori,Lower Body Strength,T2,neurologico,buff_stat,,BB AB 05,True,False,False,False
ancestor_deambulazione_resistenza_ab_01,resistenza,,Resistenza,Endurance,T1,neurologico,buff_stat,,AB 01,True,True,False,False
ancestor_deambulazione_resistenza_al_dolore_ab_10,resistenza_al_dolore,INTRA_COLLISION(x3),Resistenza al Dolore,Pain Endurance,T1,neurologico,buff_stat,,AB 10,True,False,False,False
ancestor_deambulazione_resistenza_al_dolore_ab_11,resistenza_al_dolore,INTRA_COLLISION(x3),Resistenza al Dolore,Pain Endurance,T1,neurologico,buff_stat,,AB 11,True,False,False,False
ancestor_deambulazione_resistenza_al_dolore_ab_12,resistenza_al_dolore,INTRA_COLLISION(x3),Resistenza al Dolore,Pain Endurance,T1,neurologico,buff_stat,,AB 12,True,False,False,False
ancestor_deambulazione_resistenza_al_movimento_ab_02,resistenza_al_movimento,INTRA_COLLISION(x2),Resistenza al Movimento,Movement Endurance,T1,neurologico,buff_stat,,AB 02,True,True,False,False
ancestor_deambulazione_resistenza_al_movimento_ab_03,resistenza_al_movimento,INTRA_COLLISION(x2),Resistenza al Movimento,Movement Endurance,T1,neurologico,buff_stat,,AB 03,True,False,False,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_04,resistenza_in_arrampicata,INTRA_COLLISION(x3),Resistenza in Arrampicata,Climb Endurance,T1,neurologico,buff_stat,,AB 04,True,False,False,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_05,resistenza_in_arrampicata,INTRA_COLLISION(x3),Resistenza in Arrampicata,Climb Endurance,T1,neurologico,buff_stat,,AB 05,True,False,False,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_06,resistenza_in_arrampicata,INTRA_COLLISION(x3),Resistenza in Arrampicata,Climb Endurance,T1,neurologico,buff_stat,,AB 06,True,False,False,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_07,resistenza_nel_trasporto,INTRA_COLLISION(x3),Resistenza nel Trasporto,Carrying Endurance,T1,neurologico,buff_stat,,AB 07,True,False,False,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_08,resistenza_nel_trasporto,INTRA_COLLISION(x3),Resistenza nel Trasporto,Carrying Endurance,T1,neurologico,buff_stat,,AB 08,True,False,False,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_09,resistenza_nel_trasporto,INTRA_COLLISION(x3),Resistenza nel Trasporto,Carrying Endurance,T1,neurologico,buff_stat,,AB 09,True,False,False,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_12,soglia_del_dolore,INTRA_COLLISION(x3),Soglia del Dolore,Pain Threshold,T2,neurologico,buff_stat,,BB AB 12,True,False,False,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_13,soglia_del_dolore,INTRA_COLLISION(x3),Soglia del Dolore,Pain Threshold,T2,neurologico,buff_stat,,BB AB 13,True,False,False,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_14,soglia_del_dolore,INTRA_COLLISION(x3),Soglia del Dolore,Pain Threshold,T2,neurologico,buff_stat,,BB AB 14,True,False,False,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_06,velocita_di_arrampicata,INTRA_COLLISION(x3),Velocita' di Arrampicata,Climb Speed,T2,neurologico,buff_stat,,BB AB 06,True,False,False,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_07,velocita_di_arrampicata,INTRA_COLLISION(x3),Velocita' di Arrampicata,Climb Speed,T2,neurologico,buff_stat,,BB AB 07,True,False,False,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_08,velocita_di_arrampicata,INTRA_COLLISION(x3),Velocita' di Arrampicata,Climb Speed,T2,neurologico,buff_stat,,BB AB 08,True,False,False,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_01,velocita_di_deambulazione,INTRA_COLLISION(x3),Velocita' di Deambulazione,Ambulation Speed,T2,neurologico,buff_stat,,BB AB 01,True,False,False,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_02,velocita_di_deambulazione,INTRA_COLLISION(x3),Velocita' di Deambulazione,Ambulation Speed,T2,neurologico,buff_stat,,BB AB 02,True,False,False,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_03,velocita_di_deambulazione,INTRA_COLLISION(x3),Velocita' di Deambulazione,Ambulation Speed,T2,neurologico,buff_stat,,BB AB 03,True,False,False,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_09,velocita_nel_trasporto,INTRA_COLLISION(x3),Velocita' nel Trasporto,Carrying Speed,T2,neurologico,buff_stat,,BB AB 09,True,False,False,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_10,velocita_nel_trasporto,INTRA_COLLISION(x3),Velocita' nel Trasporto,Carrying Speed,T2,neurologico,buff_stat,,BB AB 10,True,False,False,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_11,velocita_nel_trasporto,INTRA_COLLISION(x3),Velocita' nel Trasporto,Carrying Speed,T2,neurologico,buff_stat,,BB AB 11,True,False,False,False
ancestor_destrezza_abilita_motoria_fine_al_07,abilita_motoria_fine,,Abilita' Motoria Fine,Fine Motor Skill,T1,neurologico,extra_damage,,AL 07,True,False,False,False
ancestor_destrezza_abilita_motoria_grossolana_de_05,abilita_motoria_grossolana,,Abilita' Motoria Grossolana,Gross Motor Skill,T1,neurologico,extra_damage,,DE 05,True,False,False,False
ancestor_destrezza_capacita_di_trasporto_de_02,capacita_di_trasporto,INTRA_COLLISION(x3),Capacita' di Trasporto,Carrying Ability,T1,neurologico,extra_damage,,DE 02,True,False,False,False
ancestor_destrezza_capacita_di_trasporto_de_03,capacita_di_trasporto,INTRA_COLLISION(x3),Capacita' di Trasporto,Carrying Ability,T1,neurologico,extra_damage,,DE 03,True,False,False,False
ancestor_destrezza_capacita_di_trasporto_de_04,capacita_di_trasporto,INTRA_COLLISION(x3),Capacita' di Trasporto,Carrying Ability,T1,neurologico,extra_damage,,DE 04,True,False,False,False
ancestor_destrezza_controllo_della_presa_ha_02,controllo_della_presa,INTRA_COLLISION(x3),Controllo della Presa,Grasp Control,T1,neurologico,extra_damage,,HA 02,True,False,False,False
ancestor_destrezza_controllo_della_presa_ha_03,controllo_della_presa,INTRA_COLLISION(x3),Controllo della Presa,Grasp Control,T1,neurologico,extra_damage,,HA 03,True,False,False,False
ancestor_destrezza_controllo_della_presa_ha_04,controllo_della_presa,INTRA_COLLISION(x3),Controllo della Presa,Grasp Control,T1,neurologico,extra_damage,,HA 04,True,False,False,False
ancestor_destrezza_destrezza_manuale_bb_al_01,destrezza_manuale,INTRA_COLLISION(x4),Destrezza Manuale,Manual Dexterity,T2,neurologico,extra_damage,,BB AL 01,True,False,False,False
ancestor_destrezza_destrezza_manuale_bb_al_01_2,destrezza_manuale,INTRA_COLLISION(x4),Destrezza Manuale,Manual Dexterity,T2,neurologico,extra_damage,,BB AL 01-2,True,False,False,False
ancestor_destrezza_destrezza_manuale_bb_al_01_3,destrezza_manuale,INTRA_COLLISION(x4),Destrezza Manuale,Manual Dexterity,T2,neurologico,extra_damage,,BB AL 01-3,True,False,False,False
ancestor_destrezza_destrezza_manuale_bb_al_01_4,destrezza_manuale,INTRA_COLLISION(x4),Destrezza Manuale,Manual Dexterity,T2,neurologico,extra_damage,,BB AL 01-4,True,False,False,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01,efficienza_dei_propriocettori,INTRA_COLLISION(x5),Efficienza dei Propriocettori,Proprioceptor Efficiency,T2,neurologico,extra_damage,,BB WH 01,True,False,False,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_2,efficienza_dei_propriocettori,INTRA_COLLISION(x5),Efficienza dei Propriocettori,Proprioceptor Efficiency,T2,neurologico,extra_damage,,BB WH 01-2,True,False,False,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_3,efficienza_dei_propriocettori,INTRA_COLLISION(x5),Efficienza dei Propriocettori,Proprioceptor Efficiency,T2,neurologico,extra_damage,,BB WH 01-3,True,False,False,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_4,efficienza_dei_propriocettori,INTRA_COLLISION(x5),Efficienza dei Propriocettori,Proprioceptor Efficiency,T2,neurologico,extra_damage,,BB WH 01-4,True,False,False,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_5,efficienza_dei_propriocettori,INTRA_COLLISION(x5),Efficienza dei Propriocettori,Proprioceptor Efficiency,T2,neurologico,extra_damage,,BB WH 01-5,True,False,False,False
ancestor_destrezza_forza_applicata_de_06,forza_applicata,,Forza Applicata,Applied Force,T1,neurologico,extra_damage,,DE 06,True,False,False,False
ancestor_destrezza_forza_di_controllo_al_01,forza_di_controllo,INTRA_COLLISION(x3),Forza di Controllo,Controlling Strength,T1,neurologico,extra_damage,,AL 01,True,True,False,False
ancestor_destrezza_forza_di_controllo_al_02,forza_di_controllo,INTRA_COLLISION(x3),Forza di Controllo,Controlling Strength,T1,neurologico,extra_damage,,AL 02,True,True,False,False
ancestor_destrezza_forza_di_controllo_al_03,forza_di_controllo,INTRA_COLLISION(x3),Forza di Controllo,Controlling Strength,T1,neurologico,extra_damage,,AL 03,True,False,False,False
ancestor_destrezza_manipolazione_ha_01,manipolazione,,Manipolazione,Handling,T1,neurologico,extra_damage,,HA 01,True,False,False,False
ancestor_destrezza_manipolazione_oggetti_de_01,manipolazione_oggetti,,Manipolazione Oggetti,Item Manipulation,T1,neurologico,extra_damage,,DE 01,True,False,False,False
ancestor_destrezza_mira_di_affondo_wh_03,mira_di_affondo,INTRA_COLLISION(x3),Mira di Affondo,Thrusting Aim,T1,neurologico,extra_damage,,WH 03,True,False,False,False
ancestor_destrezza_mira_di_affondo_wh_04,mira_di_affondo,INTRA_COLLISION(x3),Mira di Affondo,Thrusting Aim,T1,neurologico,extra_damage,,WH 04,True,False,False,False
ancestor_destrezza_mira_di_affondo_wh_05,mira_di_affondo,INTRA_COLLISION(x3),Mira di Affondo,Thrusting Aim,T1,neurologico,extra_damage,,WH 05,True,False,False,False
ancestor_destrezza_mira_vera_wh_06,mira_vera,,Mira Vera,True Aim,T1,neurologico,extra_damage,,WH 06,True,False,False,False
ancestor_destrezza_presa_vera_ha_05,presa_vera,,Presa Vera,True Grip,T1,neurologico,extra_damage,,HA 05,True,False,False,False
ancestor_destrezza_senso_cinestesico_wh_01,senso_cinestesico,INTRA_COLLISION(x2),Senso Cinestesico,Kinesthetic Sense,T1,neurologico,extra_damage,,WH 01,True,False,False,False
ancestor_destrezza_senso_cinestesico_wh_02,senso_cinestesico,INTRA_COLLISION(x2),Senso Cinestesico,Kinesthetic Sense,T1,neurologico,extra_damage,,WH 02,True,False,False,False
ancestor_destrezza_spogliazione_al_04,spogliazione,INTRA_COLLISION(x3),Spogliazione,Stripping,T1,neurologico,extra_damage,,AL 04,True,False,False,False
ancestor_destrezza_spogliazione_al_05,spogliazione,INTRA_COLLISION(x3),Spogliazione,Stripping,T1,neurologico,extra_damage,,AL 05,True,False,False,False
ancestor_destrezza_spogliazione_al_06,spogliazione,INTRA_COLLISION(x3),Spogliazione,Stripping,T1,neurologico,extra_damage,,AL 06,True,False,False,False
ancestor_insediamento_bonus_ben_riposato_ne_09,bonus_ben_riposato,INTRA_COLLISION(x2),Bonus Ben Riposato,Well Rested Boost,T1,neurologico,damage_reduction,,NE 09,True,False,False,False
ancestor_insediamento_bonus_ben_riposato_ne_09_2,bonus_ben_riposato,INTRA_COLLISION(x2),Bonus Ben Riposato,Well Rested Boost,T1,neurologico,damage_reduction,,NE 09-2,True,False,False,False
ancestor_insediamento_costruzione_ne_01,costruzione,,Costruzione,Building,T1,neurologico,damage_reduction,,NE 01,True,True,False,False
ancestor_insediamento_efficienza_di_costruzione_ne_02,efficienza_di_costruzione,,Efficienza di Costruzione,Building Efficiency,T1,neurologico,damage_reduction,,NE 02,True,True,False,False
ancestor_insediamento_recupero_del_sonno_ne_08,recupero_del_sonno,,Recupero del Sonno,Sleep Recovery,T1,neurologico,damage_reduction,,NE 08,True,False,False,False
ancestor_insediamento_sonno_efficienza_curativa_bb_ne_01,sonno_efficienza_curativa,INTRA_COLLISION(x3),Sonno - Efficienza Curativa,Sleep - Healing Efficiency,T2,neurologico,damage_reduction,,BB NE 01,True,False,False,False
ancestor_insediamento_sonno_efficienza_curativa_bb_ne_01_2,sonno_efficienza_curativa,INTRA_COLLISION(x3),Sonno - Efficienza Curativa,Sleep - Healing Efficiency,T2,neurologico,damage_reduction,,BB NE 01-2,True,False,False,False
ancestor_insediamento_sonno_efficienza_curativa_bb_ne_01_3,sonno_efficienza_curativa,INTRA_COLLISION(x3),Sonno - Efficienza Curativa,Sleep - Healing Efficiency,T2,neurologico,damage_reduction,,BB NE 01-3,True,False,False,False
ancestor_insediamento_sonno_profondo_ne_06,sonno_profondo,INTRA_COLLISION(x2),Sonno Profondo,Deep Sleep,T1,neurologico,damage_reduction,,NE 06,True,False,False,False
ancestor_insediamento_sonno_profondo_ne_07,sonno_profondo,INTRA_COLLISION(x2),Sonno Profondo,Deep Sleep,T1,neurologico,damage_reduction,,NE 07,True,False,False,False
ancestor_intelligenza_memoria_a_lungo_termine_bb_in_01,memoria_a_lungo_termine,INTRA_COLLISION(x2),Memoria a Lungo Termine,Long Term Memory,T2,neurologico,apply_status,focused,BB IN 01,True,False,False,False
ancestor_intelligenza_memoria_a_lungo_termine_bb_in_01_2,memoria_a_lungo_termine,INTRA_COLLISION(x2),Memoria a Lungo Termine,Long Term Memory,T2,neurologico,apply_status,focused,BB IN 01-2,True,False,False,False
ancestor_intelligenza_memoria_in_01,memoria,,Memoria,Memory,T1,neurologico,apply_status,focused,IN 01,True,False,False,False
ancestor_intelligenza_orientamento_bb_in_05,orientamento,INTRA_COLLISION(x3),Orientamento,Orientation,T2,neurologico,apply_status,focused,BB IN 05,True,False,False,False
ancestor_intelligenza_orientamento_bb_in_05_2,orientamento,INTRA_COLLISION(x3),Orientamento,Orientation,T2,neurologico,apply_status,focused,BB IN 05-2,True,False,False,False
ancestor_intelligenza_orientamento_nello_spazio_bb_in_03,orientamento_nello_spazio,INTRA_COLLISION(x2),Orientamento nello Spazio,Wayfinding,T2,neurologico,apply_status,focused,BB IN 03,True,False,False,False
ancestor_intelligenza_orientamento_nello_spazio_bb_in_03_2,orientamento_nello_spazio,INTRA_COLLISION(x2),Orientamento nello Spazio,Wayfinding,T2,neurologico,apply_status,focused,BB IN 03-2,True,False,False,False
ancestor_intelligenza_percezione_spaziale_an_01,percezione_spaziale,INTRA_COLLISION(x3),Percezione Spaziale,Spatial Perception,T1,neurologico,apply_status,focused,AN 01,True,True,False,False
ancestor_intelligenza_percezione_spaziale_an_03,percezione_spaziale,INTRA_COLLISION(x3),Percezione Spaziale,Spatial Perception,T1,neurologico,apply_status,focused,AN 03,True,False,False,False
ancestor_intelligenza_percezione_spaziale_an_04,percezione_spaziale,INTRA_COLLISION(x3),Percezione Spaziale,Spatial Perception,T1,neurologico,apply_status,focused,AN 04,True,False,False,False
ancestor_intelligenza_riconoscimento_delle_forme_an_05,riconoscimento_delle_forme,INTRA_COLLISION(x3),Riconoscimento delle Forme,Form Recognition,T1,neurologico,apply_status,focused,AN 05,True,False,False,False
ancestor_intelligenza_riconoscimento_delle_forme_an_06,riconoscimento_delle_forme,INTRA_COLLISION(x3),Riconoscimento delle Forme,Form Recognition,T1,neurologico,apply_status,focused,AN 06,True,False,False,False
ancestor_intelligenza_riconoscimento_delle_forme_an_07,riconoscimento_delle_forme,INTRA_COLLISION(x3),Riconoscimento delle Forme,Form Recognition,T1,neurologico,apply_status,focused,AN 07,True,False,False,False
