old_id,proposed_native,disposition,needs_master_dd,basis,label_it,tier,category,effect_kind,status,amount,trigger,prov_code,in_biome_pools
ancestor_comunicazione_linguaggio_del_corpo_cm_03,linguaggio_del_corpo,AUTO_UNIQUE,False,candidato unico,Linguaggio del Corpo,T1,neurologico,apply_status,linked,,action_type=passive,CM 03,False
ancestor_comunicazione_neurone_specchio_cm_05,neurone_specchio,AUTO_UNIQUE,False,candidato unico,Neurone Specchio,T1,neurologico,apply_status,linked,,action_type=passive,CM 05,False
ancestor_comunicazione_paura_indotta_it_02,paura_indotta,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Paura Indotta,T1,neurologico,apply_status,linked,,action_type=passive,IT 02,False
ancestor_comunicazione_paura_indotta_it_03,paura_indotta__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Paura Indotta,T1,neurologico,apply_status,linked,,action_type=passive,IT 03,False
ancestor_comunicazione_percezione_del_pericolo_it_04,percezione_del_pericolo,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Percezione del Pericolo,T1,neurologico,apply_status,linked,,action_type=passive,IT 04,False
ancestor_comunicazione_percezione_del_pericolo_it_05,percezione_del_pericolo__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Percezione del Pericolo,T1,neurologico,apply_status,linked,,action_type=passive,IT 05,False
ancestor_comunicazione_sicurezza_sociale_bb_cm_01,sicurezza_sociale,AUTO_UNIQUE,False,candidato unico,Sicurezza Sociale,T2,neurologico,apply_status,linked,,action_type=passive,BB CM 01,False
ancestor_comunicazione_specie_dominante_it_06,specie_dominante,AUTO_UNIQUE,False,candidato unico,Specie Dominante,T1,neurologico,apply_status,linked,,action_type=passive,IT 06,False
ancestor_comunicazione_unita_del_gruppo_cm_04,unita_del_gruppo,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Unita' del Gruppo,T1,neurologico,apply_status,linked,,action_type=passive,CM 04,False
ancestor_comunicazione_unita_del_gruppo_cm_07,unita_del_gruppo__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Unita' del Gruppo,T1,neurologico,apply_status,linked,,action_type=passive,CM 07,False
ancestor_deambulazione_forza_degli_arti_inferiori_bb_ab_04,forza_degli_arti_inferiori,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Forza degli Arti Inferiori,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 04,False
ancestor_deambulazione_forza_degli_arti_inferiori_bb_ab_05,forza_degli_arti_inferiori__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Forza degli Arti Inferiori,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 05,False
ancestor_deambulazione_resistenza_ab_01,resistenza,AUTO_UNIQUE,False,candidato unico,Resistenza,T1,neurologico,buff_stat,,1,action_type=movement,AB 01,True
ancestor_deambulazione_resistenza_al_dolore_ab_10,resistenza_al_dolore,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Resistenza al Dolore,T1,neurologico,buff_stat,,1,action_type=movement,AB 10,False
ancestor_deambulazione_resistenza_al_dolore_ab_11,resistenza_al_dolore__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza al Dolore,T1,neurologico,buff_stat,,1,action_type=movement,AB 11,False
ancestor_deambulazione_resistenza_al_dolore_ab_12,resistenza_al_dolore__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza al Dolore,T1,neurologico,buff_stat,,1,action_type=movement,AB 12,False
ancestor_deambulazione_resistenza_al_movimento_ab_02,resistenza_al_movimento,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Resistenza al Movimento,T1,neurologico,buff_stat,,1,action_type=movement,AB 02,True
ancestor_deambulazione_resistenza_al_movimento_ab_03,resistenza_al_movimento__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza al Movimento,T1,neurologico,buff_stat,,1,action_type=movement,AB 03,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_04,resistenza_in_arrampicata,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Resistenza in Arrampicata,T1,neurologico,buff_stat,,1,action_type=movement,AB 04,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_05,resistenza_in_arrampicata__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza in Arrampicata,T1,neurologico,buff_stat,,1,action_type=movement,AB 05,False
ancestor_deambulazione_resistenza_in_arrampicata_ab_06,resistenza_in_arrampicata__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza in Arrampicata,T1,neurologico,buff_stat,,1,action_type=movement,AB 06,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_07,resistenza_nel_trasporto,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Resistenza nel Trasporto,T1,neurologico,buff_stat,,1,action_type=movement,AB 07,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_08,resistenza_nel_trasporto__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza nel Trasporto,T1,neurologico,buff_stat,,1,action_type=movement,AB 08,False
ancestor_deambulazione_resistenza_nel_trasporto_ab_09,resistenza_nel_trasporto__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Resistenza nel Trasporto,T1,neurologico,buff_stat,,1,action_type=movement,AB 09,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_12,soglia_del_dolore,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Soglia del Dolore,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 12,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_13,soglia_del_dolore__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Soglia del Dolore,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 13,False
ancestor_deambulazione_soglia_del_dolore_bb_ab_14,soglia_del_dolore__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Soglia del Dolore,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 14,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_06,velocita_di_arrampicata,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Velocita' di Arrampicata,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 06,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_07,velocita_di_arrampicata__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' di Arrampicata,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 07,False
ancestor_deambulazione_velocita_di_arrampicata_bb_ab_08,velocita_di_arrampicata__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' di Arrampicata,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 08,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_01,velocita_di_deambulazione,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Velocita' di Deambulazione,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 01,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_02,velocita_di_deambulazione__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' di Deambulazione,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 02,False
ancestor_deambulazione_velocita_di_deambulazione_bb_ab_03,velocita_di_deambulazione__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' di Deambulazione,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 03,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_09,velocita_nel_trasporto,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Velocita' nel Trasporto,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 09,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_10,velocita_nel_trasporto__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' nel Trasporto,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 10,False
ancestor_deambulazione_velocita_nel_trasporto_bb_ab_11,velocita_nel_trasporto__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Velocita' nel Trasporto,T2,neurologico,buff_stat,,2,action_type=movement,BB AB 11,False
ancestor_destrezza_abilita_motoria_fine_al_07,abilita_motoria_fine,AUTO_UNIQUE,False,candidato unico,Abilita' Motoria Fine,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 07,False
ancestor_destrezza_abilita_motoria_grossolana_de_05,abilita_motoria_grossolana,AUTO_UNIQUE,False,candidato unico,Abilita' Motoria Grossolana,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 05,False
ancestor_destrezza_capacita_di_trasporto_de_02,capacita_di_trasporto,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Capacita' di Trasporto,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 02,False
ancestor_destrezza_capacita_di_trasporto_de_03,capacita_di_trasporto__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Capacita' di Trasporto,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 03,False
ancestor_destrezza_capacita_di_trasporto_de_04,capacita_di_trasporto__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Capacita' di Trasporto,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 04,False
ancestor_destrezza_controllo_della_presa_ha_02,controllo_della_presa,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Controllo della Presa,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,HA 02,False
ancestor_destrezza_controllo_della_presa_ha_03,controllo_della_presa__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Controllo della Presa,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,HA 03,False
ancestor_destrezza_controllo_della_presa_ha_04,controllo_della_presa__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Controllo della Presa,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,HA 04,False
ancestor_destrezza_destrezza_manuale_bb_al_01,destrezza_manuale,DEDUP_KEEP,True,identico ad altri 3 (mechanics uguali),Destrezza Manuale,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB AL 01,False
ancestor_destrezza_destrezza_manuale_bb_al_01_2,destrezza_manuale__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Destrezza Manuale,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB AL 01-2,False
ancestor_destrezza_destrezza_manuale_bb_al_01_3,destrezza_manuale__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Destrezza Manuale,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB AL 01-3,False
ancestor_destrezza_destrezza_manuale_bb_al_01_4,destrezza_manuale__retire3,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Destrezza Manuale,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB AL 01-4,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01,efficienza_dei_propriocettori,DEDUP_KEEP,True,identico ad altri 4 (mechanics uguali),Efficienza dei Propriocettori,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB WH 01,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_2,efficienza_dei_propriocettori__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Efficienza dei Propriocettori,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB WH 01-2,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_3,efficienza_dei_propriocettori__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Efficienza dei Propriocettori,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB WH 01-3,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_4,efficienza_dei_propriocettori__retire3,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Efficienza dei Propriocettori,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB WH 01-4,False
ancestor_destrezza_efficienza_dei_propriocettori_bb_wh_01_5,efficienza_dei_propriocettori__retire4,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Efficienza dei Propriocettori,T2,neurologico,extra_damage,,2,action_type=attack;on_result=hit,BB WH 01-5,False
ancestor_destrezza_forza_applicata_de_06,forza_applicata,AUTO_UNIQUE,False,candidato unico,Forza Applicata,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 06,False
ancestor_destrezza_forza_di_controllo_al_01,forza_di_controllo,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Forza di Controllo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 01,True
ancestor_destrezza_forza_di_controllo_al_02,forza_di_controllo__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Forza di Controllo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 02,True
ancestor_destrezza_forza_di_controllo_al_03,forza_di_controllo__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Forza di Controllo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 03,False
ancestor_destrezza_manipolazione_ha_01,manipolazione,AUTO_UNIQUE,False,candidato unico,Manipolazione,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,HA 01,False
ancestor_destrezza_manipolazione_oggetti_de_01,manipolazione_oggetti,AUTO_UNIQUE,False,candidato unico,Manipolazione Oggetti,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,DE 01,False
ancestor_destrezza_mira_di_affondo_wh_03,mira_di_affondo,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Mira di Affondo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 03,False
ancestor_destrezza_mira_di_affondo_wh_04,mira_di_affondo__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Mira di Affondo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 04,False
ancestor_destrezza_mira_di_affondo_wh_05,mira_di_affondo__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Mira di Affondo,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 05,False
ancestor_destrezza_mira_vera_wh_06,mira_vera,AUTO_UNIQUE,False,candidato unico,Mira Vera,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 06,False
ancestor_destrezza_presa_vera_ha_05,presa_vera,AUTO_UNIQUE,False,candidato unico,Presa Vera,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,HA 05,False
ancestor_destrezza_senso_cinestesico_wh_01,senso_cinestesico,DEDUP_KEEP,True,identico ad altri 1 (mechanics uguali),Senso Cinestesico,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 01,False
ancestor_destrezza_senso_cinestesico_wh_02,senso_cinestesico__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Senso Cinestesico,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,WH 02,False
ancestor_destrezza_spogliazione_al_04,spogliazione,DEDUP_KEEP,True,identico ad altri 2 (mechanics uguali),Spogliazione,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 04,False
ancestor_destrezza_spogliazione_al_05,spogliazione__retire1,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Spogliazione,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 05,False
ancestor_destrezza_spogliazione_al_06,spogliazione__retire2,DEDUP_RETIRE,True,duplicato meccanico: ritirare o fondere,Spogliazione,T1,neurologico,extra_damage,,1,action_type=attack;on_result=hit,AL 06,False
