trait_code,label_it,label_en,slug_candidate,existing_slug,baseline_label_matches,incoming_label_duplicates,action,notes
TR-1802,Elettromagnete Biologico,,elettromagnete_biologico,elettromagnete_biologico,elettromagnete_biologico,,add,
TR-1803,Scivolamento Magnetico,,scivolamento_magnetico,scivolamento_magnetico,scivolamento_magnetico,,add,
TR-1804,Filtro Metallofago,,filtro_metallofago,filtro_metallofago,filtro_metallofago,,add,
TR-1805,Bozzolo Magnetico,,bozzolo_magnetico,bozzolo_magnetico,bozzolo_magnetico,,add,
TR-1901,Vello di Assorbimento Totale,,vello_di_assorbimento_totale,vello_di_assorbimento_totale,vello_di_assorbimento_totale,,add,
TR-1902,Visione Multi-Spettrale Amplificata,,visione_multi_spettrale_amplificata,visione_multi_spettrale_amplificata,visione_multi_spettrale_amplificata,,add,
TR-1903,Motore Biologico Silenzioso,,motore_biologico_silenzioso,motore_biologico_silenzioso,motore_biologico_silenzioso,,add,
TR-1904,Artigli Ipo-Termici,,artigli_ipo_termici,artigli_ipo_termici,artigli_ipo_termici,,add,
TR-1905,Comunicazione Fotonica Coda-Coda,,comunicazione_fotonica_coda_coda,comunicazione_fotonica_coda_coda,comunicazione_fotonica_coda_coda,,add,
TR-2001,Corna Psico-Conduttive,,corna_psico_conduttive,corna_psico_conduttive,corna_psico_conduttive,,add,
TR-2002,Coscienza d’Alveare Diffusa,,coscienza_d_alveare_diffusa,coscienza_d_alveare_diffusa,coscienza_d_alveare_diffusa,,add,
TR-2003,Aura di Dispersione Mentale,,aura_di_dispersione_mentale,aura_di_dispersione_mentale,aura_di_dispersione_mentale,,add,
TR-2004,Metabolismo di Condivisione Energetica,,metabolismo_di_condivisione_energetica,metabolismo_di_condivisione_energetica,metabolismo_di_condivisione_energetica,,add,
TR-2005,Unghie a Micro-Adesione,,unghie_a_micro_adesione,unghie_a_micro_adesione,unghie_a_micro_adesione,,add,
