name,type,subtype,environment_tags,movement,special_abilities,cr
Adult Sovereign Dragon,dragon,,any mountains,walk:50;fly:200,change shape (su);dogmatic discordance (su);golden armor (su);master counterspelling (su);violent retort (ex);breath weapon;crush;violent retort,15.0
Adult Time Dragon,dragon,,vacuum,walk:50;fly:200,immortal (ex);read the threads (su);alien presence (su);shifting breath (su);second chance (su);time travel (su);breath weapon;crush,15.0
Adult Umbral Dragon,dragon,extraplanar,any,walk:40;fly:200,breath weapon (su);create shadows (su);energy drain (su);ghost bane (su);umbral scion (ex);shadow breath (su);abilities (sp);breath weapon;crush;shadow breath,14.0
Adult Underworld Dragon,dragon,fire,any underground,walk:40;burrow:40;fly:200,adamantine claws (ex);change shape (su);lava eruption (su);smoke vision (ex);underworld burrower (ex);adamantine claws;breath weapon,11.0
Adult Void Dragon,dragon,,vacuum,walk:40;fly:200,agile (ex);alien presence (su);obliterate (su);suffocating breath (su);void gaze (su);breath weapon;crush;obliterate;suffocating breath;void gaze,13.0
Adult Vortex Dragon,dragon,fire,vacuum,walk:60;fly:200,agile (ex);alien presence (su);collapsing breath (su);fragmented strike (su);galactic emissary (su);breath weapon;crush;fragmented strike,14.0
Adult White Dragon,dragon,cold,cold mountains,walk:30;burrow:30;fly:200;swim:60,blizzard (su);cold aura (su);freezing fog (sp);ice shape (su);ice tomb (sp);icewalking (ex);snow vision (ex);abilities (sp);breath weapon,10.0
Aghash,outsider,div; evil; extraplanar,any,walk:30,cursed gaze (su);sandstorm (su);cursed gaze;sandstorm,4.0
Aghasura,outsider,asura; evil; extraplanar; lawful,any,walk:50;swim:30,attraction aura (su);dual wielder (ex);infused weapons (su);poison (ex);dual wielder;infused weapons;swallow whole,11.0
Agyra,magical beast,air; kaiju,warm mountains,walk:80;fly:200,blinding flash (su);breath weapon (su);electrified corpse (su);hurricane (sp);rebirth (su);storm flier (ex);swift flight (su);thunderous blast (su);bleed;blinding flash;breath weapon;hurl foe;hurricane;thunderous blast,27.0
Ahuizotl,magical beast,aquatic,warm lakes;rivers;swamps,walk:30;swim:50,tenacious grapple (ex);voice mimicry (ex);rake,6.0
Akata,aberration,,any,walk:40;climb:20,deaf (ex);hibernation (ex);salt water vulnerability (ex);void bite (ex);disease (ex),1.0
Akhana,outsider,aeon; extraplanar,any,walk:30;fly:40,soul siphoning (su);soul siphoning,12.0
Akhlut,magical beast,cold; shapechanger,cold lakes;plains;oceans,walk:40;swim:60,savage bite (ex);shore storming (ex);snow vision (ex);snow walking (su);savage bite;shore storming;swallow whole,13.0
Akvan,outsider,div; evil; extraplanar,any,walk:50;fly:120,armor training (ex);aura of hopelessness (su);create ghul (su);shake faith (su);torturous gullet (su);create ghul;rend;shake faith;swallow whole;torturous gullet;trample,20.0
Albino Cave Solifugid,vermin,,any underground,walk:50;climb:30,pounce;rend,4.0
Alchemical Golem,construct,,any,walk:30,alchemy (ex);bombs (ex);immunity to magic (ex);splash (ex);alchemy;bombs;splash,9.0
Allip,undead,incorporeal,any,fly:30,babble (su);madness (su);touch of insanity (su);babble;touch of insanity,3.0
Allosaurus,animal,,temperate;warm forests;plains,walk:50,pounce;rake,7.0
Almiraj,magical beast,,temperate hills;plains;forests,walk:30;burrow:10,prone (su);magic horn (su);magic horn,1.0
Alpluachra,fey,aquatic,temperate forests;fresh water,walk:10;swim:10,implant (ex);numbing slime (ex);vulnerable to salt (ex);implant  space 1 ft.;reach 0 ft.,0.5
Alraune,plant,,temperate forests,walk:40,calming fragrance (su);feed (ex);bleed;constrict;feed,13.0
Amoeba Swarm,ooze,swarm,any land;underground,walk:10;climb:10;swim:20,distraction,1.0
"Amoeba, Giant",ooze,aquatic,any land;underground,walk:10;climb:10;swim:20,constrict,1.0
Amphisbaena,magical beast,,temperate hills;underground,walk:20;climb:20;swim:20,poison (ex);split (su),4.0
Ancient Black Dragon,dragon,water,warm marshes,walk:60;fly:200;swim:60,acid pool (su);acidic bite (su);charm reptiles (sp);corrupt water (sp);speak with reptiles (sp);abilities (sp);swamp stride (ex);water breathing (ex);acid pool;acidic bite;breath weapon;corrupt water;crush,16.0
Ancient Blue Dragon,dragon,earth,warm deserts,walk:40;burrow:20;fly:250,desert thirst (su);electricity aura (su);mirage (su);sandstorm (su);sound imitation (ex);abilities (sp);storm breath (su);breath weapon;crush;desert thirst;mirage;storm breath;tail sweep,18.0
Ancient Brass Dragon,dragon,fire,warm deserts,walk:60;burrow:30;fly:200,desert wind (su);fire aura (su);move sand (sp);sandstorm (su);sleep breath (su);abilities (sp);summon djinni (sp);breath weapon;crush;desert wind;sandstorm;sleep breath,16.0
Ancient Brine Dragon,dragon,extraplanar; water,any aquatic,walk:60;fly:200;swim:60,capsize (ex);desiccating bite (su);painful strikes (su);abilities (sp);breath weapon;capsize;crush;desiccating bite,16.0
Ancient Bronze Dragon,dragon,water,temperate coastlines,walk:60;fly:250,change shape (su);electricity aura (su);repulsion breath (su);abilities (sp);tidal wave (su);vortex (ex);water breathing (ex);wave mastery (su);br. weapon;crush;repul. breath;tail sweep;vortex,18.0
Ancient Cloud Dragon,dragon,air; extraplanar,any sky,walk:40;fly:250;swim:40,cloud form (su);cloud breath (su);mist vision (su);abilities (sp);thundering bite (su);breath weapon;crush;tail sweep,18.0
Ancient Copper Dragon,dragon,earth,warm hills,walk:40;fly:200,climb stone (ex);deadly joke (sp);mass laughter (sp);slow aura (su);slow breath (su);abilities (sp);trap master (ex);uncanny dodge (ex);breath weapon;crush;mass laughter;slow breath,17.0
Ancient Crystal Dragon,dragon,earth; extraplanar,any underground,walk:60;burrow:30;climb:30;fly:200,razor sharp (sp);ray reflection (ex);scintillating aura (su);abilities (sp);tremorsense (ex);breath weapon;crush,15.0
Ancient Forest Dragon,dragon,earth,any forest,walk:40;burrow:20;climb:30;fly:250,change shape (su);destructive crush (su);elemental breath (su);sound imitation (ex);stony death (su);woodland stride (ex);breath weapon  crush;destructive crush;tail sweep,19.0
Ancient Gold Dragon,dragon,fire,warm plains,walk:60;fly:250;swim:60,change shape (su);detect gems (sp);divine aid (sp);fast flight (ex);fire aura (su);luck (sp);abilities (sp);weakening breath (su);breath weapon;crush;tail sweep;weaken breath,20.0
Ancient Green Dragon,dragon,air,temperate forests,walk:40;fly:250;swim:40,awaken treants (su);camouflage (ex);miasma (su);abilities (sp);trackless step (ex);water breathing (ex);woodland stride (ex);breath weapon;crush;miasma;tail sweep,17.0
Ancient Lunar Dragon,dragon,,vacuum,walk:40;burrow:20;fly:250,absolute cold (su);alien presence (su);bewildering breath (su);moonsilver (ex);reflect rays (su);reflected light (ex);bewildering breath;breath weapon;crush;moonsilver;tail sweep,18.0
Ancient Magma Dragon,dragon,extraplanar; fire,any mountains;underground,walk:40;fly:200,magma tomb (su);magma breath (su);abilities (sp);superheated (su);breath weapon;crush;magma breath,17.0
Ancient Red Dragon,dragon,fire,warm mountains,walk:40;fly:250,fire aura (su);incinerate (su);manipulate flames (su);melt stone (su);smoke vision (ex);abilities (sp);breath weapon;crush;manipulate flames;melt stone;tail sweep,19.0
Ancient Sea Dragon,dragon,water,any water,walk:40;fly:250;swim:100,change shape (su);sea strider (su);tidal wave (su);torrent breath (su);unfettered swimmer (su);breath weapon;crush;tail sweep;torrent breath,17.0
Ancient Silver Dragon,dragon,cold,temperate mountains,walk:40;fly:250,change shape (su);cloudwalking (su);cold aura (su);fog vision (ex);graceful flight (ex);paralyzing breath (su);reflective scales (su);abilities (sp);true courage (ex);breath weapon;crush;paralyzing breath;tail sweep,19.0
Ancient Sky Dragon,dragon,air,temperate;warm mountains,walk:40;fly:250,borne aloft (su);celestial emissary (su);change shape (su);cloud sight (su);grounding breath (su);primal lightning (su);breath weapon  crush;grounding breath;primal lightning;tail sweep,18.0
Ancient Solar Dragon,dragon,fire,vacuum,walk:50;fly:250,alien presence (su);beam of light (su);channel life (su);channel radiation (su);primal fire (su);breath weapon;channel life;channel radiation;crush;primal fire;tail sweep,18.0
Ancient Sovereign Dragon,dragon,,any mountains,walk:50;fly:250,change shape (su);dogmatic discordance (su);golden armor (su);master counterspelling (su);violent retort (ex);breath weapon;crush;tail sweep;violent retort,20.0
Ancient Time Dragon,dragon,,vacuum,walk:50;fly:250,immortal (ex);read the threads (su);alien presence (su);shifting breath (su);second chance (su);time travel (su);breath weapon;crush;second chance;shifting breath;tail sweep,20.0
Ancient Umbral Dragon,dragon,extraplanar,any,walk:40;fly:250,breath weapon (su);create shadows (su);energy drain (su);ghost bane (su);umbral scion (ex);shadow breath (su);abilities (sp);breath weapon;create shadows;crush;shadow breath;tail sweep,19.0
Ancient Underworld Dragon,dragon,fire,any underground,walk:40;burrow:60;fly:200,adamantine claws (ex);change shape (su);lava eruption (su);smoke vision (ex);underworld burrower (ex);adamantine claws;breath weapon;crush,16.0
Ancient Void Dragon,dragon,,vacuum,walk:40;fly:250,agile (ex);alien presence (su);obliterate (su);suffocating breath (su);void gaze (su);breath weapon;crush;obliterate;suffocating breath;tail sweep;void gaze,18.0
Ancient Vortex Dragon,dragon,fire,vacuum,walk:60;fly:250,agile (ex);alien presence (su);collapsing breath (su);fragmented strike (su);galactic emissary (su);breath weapon;collapsing breath;crush;fragmented strike;tail sweep,19.0
Ancient White Dragon,dragon,cold,cold mountains,walk:30;burrow:30;fly:200;swim:60,blizzard (su);cold aura (su);freezing fog (sp);ice shape (su);ice tomb (sp);icewalking (ex);snow vision (ex);abilities (sp);blizzard;breath weapon;crush;freezing fog,15.0
Androsphinx,magical beast,,warm deserts;hills,walk:40;fly:60,roar (su);pounce;rake;roar,9.0
Animate Dream,outsider,extraplanar; incorporeal,any,fly:40,nightmare curse (ex),8.0
Animated Object,construct,,any,walk:30,,3.0
Ankheg,magical beast,,temperate;warm plains,walk:30;burrow:20,spit acid (ex);spit acid,3.0
Ankou,fey,extraplanar,any,fly:90,cold iron killer (su);shadow doubles (su);bleed;cold iron killer;shadow doubles;sneak attack +3d6,14.0
Ankylosaurus,animal,,warm forests;plains,walk:30,stun (ex),6.0
Annis Hag,monstrous humanoid,,cold marshes,walk:40,rend,6.0
Antelope,animal,,temperate;warm plains,walk:60,powerful charge,0.5
Aoandon,outsider,incorporeal; native,any,fly:60,touch of madness (su),12.0
Apocalypse Locust,outsider,evil; extraplanar; mythic,any evil-aligned planes,walk:30;fly:60,abyssal torment (su);accursed brand (su);maddening buzz (su);sting (ex);abyssal torment;breath weapon;constrict;maddening buzz;mythic power;sting,6.0
Aranea,magical beast,shapechanger,tropical forests,walk:50;climb:30,change shape (su);poison (ex);web,4.0
Arbiter,outsider,extraplanar; inevitable; lawful,any,walk:20;fly:50,constant vigilance (su);electrical burst (ex);locate inevitable (su);electrical burst,2.0
Archaeopteryx,animal,,temperate;warm forests,walk:40;climb:10;fly:40,weak flier (ex),0.25
Archelon,animal,,warm;temperate water;coastlines,walk:15;swim:50,capsize,5.0
Argus,aberration,mythic,any land,walk:40,absolute readiness (ex);accurate strikes (ex);eye gouge (ex);fascinating gaze (su);limitless vision (ex);accurate strikes;constrict;eye gouge;fascinating gaze;mythic power;rend;rock throwing,13.0
Army Ant Swarm,vermin,swarm,any tropical,walk:30;climb:30,cling (ex);consume (ex);cling;consume;distraction,5.0
Arsinoitherium,animal,,temperate plains,walk:30,powerful charge;trample,7.0
Ascomoid,plant,,underground,walk:40,poison (ex);spores (ex);poison;spores;trample,5.0
Ash Giant,humanoid,giant,any wastelands,walk:40,disease (su);oversized weapon (ex);vermin empathy (ex);disease;rock throwing,11.0
Assassin Vine,plant,,temperate forests,walk:5,camouflage (ex);entangle (su);constrict;entangle,3.0
Astradaemon,outsider,daemon; evil; extraplanar,any,walk:90;fly:90,devour soul (su);soul siphon (su);devour soul;energy drain,16.0
Astral Deva,outsider,angel; extraplanar; good,any good-aligned plane,walk:50;fly:100,stun (su);uncanny dodge (ex),14.0
Astral Leviathan,outsider,extraplanar,any,fly:90,astral locating (su);gulping tide (ex);fast swallow;gulping tide;swallow whole,18.0
Asurendra,outsider,asura; evil; extraplanar; lawful,any,walk:50;climb:50;fly:50;swim:50,curse of false wisdom (su);poison (ex);spirit blades (su);curse of false wisdom;spirit blades;swallow whole,20.0
Athach,humanoid,giant,cold;temperate hills,walk:50,poison (ex);swift claw (ex);rock throwing;swift claw,12.0
Atomie,fey,,any temperate,walk:20;fly:50,sneak attack +1d6,1.0
Attic Whisperer,undead,,any urban;ruins,walk:20,aura of sobs (su);steal breath (su);steal voice (su),4.0
Augnagar,outsider,chaotic; evil; extraplanar; qlippoth,any,walk:50;climb:50;fly:50,horrific appearance (su);bleed;horrific appearance,14.0
Augur,outsider,evil; extraplanar; kyton; lawful,any,walk:20;fly:50,unnerving gaze (ex);bleed;unnerving gaze,2.0
Aurochs,animal,,temperate plains,walk:40,stampede (ex);stampede;trample,2.0
Aurumvorax,magical beast,,temperate plains;hills;forests,walk:30;burrow:10,grab (ex);rake,9.0
Avoral,outsider,agathion; extraplanar; good,any air,walk:40;fly:90,true seeing (su),9.0
Axe Beak,animal,,temperate plains,walk:50,sudden charge (ex);sudden charge,2.0
Axiomite,outsider,extraplanar; lawful,any,walk:30;fly:30,crystalline dust form (su);summon inevitable (sp),8.0
Azer,outsider,extraplanar; fire,any land,walk:30,heat,2.0
Azruverda,aberration,,underground,walk:50;climb:30,acid spit (ex);vermin master (su);acid spit;rend,13.0
Babau,outsider,chaotic; demon; evil; extraplanar,any,walk:30,protective slime (su);sneak attack +2d6,6.0
Baboon,animal,,warm forests;plains,walk:30,,0.5
Badger,animal,,temperate forests,walk:30;burrow:10,blood rage,0.5
"Badger, Dire",animal,,temperate forests,walk:30;burrow:10,blood rage,2.0
Bakekujira,undead,aquatic,any oceans,walk:15;swim:60,s call (su);resonant song (su);smashing breach (ex);undead parasites (su);capsize;leviathan's call;resonant song;smashing breach,17.0
Baku,magical beast,,any,walk:30;fly:60,dream claws (ex);dream eating (su);mental drain (su);mental drain,8.0
Balor,outsider,chaotic; demon; evil; extraplanar,any,walk:40;fly:90,death throes (su);entangle (ex);flaming body (su);vorpal strike (su);whip mastery (ex),20.0
Baluchitherium,animal,,warm forests,walk:40,trample,8.0
Bandersnatch,magical beast,,any forests,walk:60;climb:20,bounding charge (ex);brutal tail (ex);gaze (su);lash out (ex);pain (ex);planar acclimation (ex);quill defense (ex);quick recovery (su);quills (ex);relentless tracker (ex);bounding charge;brutal tail;gaze;lash out;pounce;rake;rend,17.0
Banshee,undead,incorporeal,any,fly:60,hear heartbeat (ex);terror (su);wail (su);wail,13.0
Barbed Devil,outsider,devil; evil; extraplanar; lawful,any,walk:30,barbed defense (su);fear (su);grab (ex);impale (ex);fear;impale 3d8+9,11.0
Baregara,outsider,chaotic; evil; extraplanar,warm forests,walk:30;climb:40,devouring grapple (ex);monstrous challenge (su);hold (ex);devouring grapple;monstrous challenge;onearmed hold,12.0
Barghest,outsider,evil; extraplanar; lawful; shapechanger,any,walk:30,feed (su);feed,4.0
Barometz,plant,,any forests,walk:40,powerful charge;trample,15.0
Basidirond,plant,,any non-cold underground,walk:20,hallucination cloud (ex);spores (ex);cold lethargy (ex);hallucination cloud;spores,5.0
Basilisk,magical beast,,any,walk:20,gaze (ex);gaze,5.0
Basilosaurus,animal,,any oceans,swim:40,swallow whole,12.0
Bat,animal,,temperate;hot forests;deserts,walk:5;fly:40,,0.125
Bat Swarm,animal,swarm,any temperate;tropical,walk:5;fly:40,wounding (ex);distraction;wounding,2.0
Baykok,undead,,any,walk:30;fly:60,devour soul (su);dread howl (su);infused arrows (su);devour soul;dread howl;infused arrows,9.0
Bebilith,outsider,chaotic; evil; extraplanar,any,walk:40;climb:20,dismantle armor (ex);penetrating strike (su);rot (su);dismantle armor;penetrating strike;web,10.0
Beheaded,undead,,any,fly:40,,0.3333333333333333
Behemoth Hippopotamus,animal,,warm rivers,walk:50,capsize;trample,10.0
Behir,magical beast,,warm hills;deserts,walk:40;climb:20,grab (ex);breath weapon;constrict;rake;swallow whole,8.0
Belier Devil,outsider,devil; evil; extraplanar; lawful,any,walk:20;fly:60,possession (su);blood drain;constrict;possession;strangle,16.0
Belker,outsider,air; elemental; evil,any,walk:30;fly:50,smoke claws (ex);smoke form (su);smoke claws,6.0
Berbalang,undead,,any land,walk:40;fly:60,projection (su);paralysis,6.0
Bezravnis,magical beast,earth; kaiju,warm deserts,walk:100;burrow:100,burrowing charge (ex);heat beam (su);poison (su);web (ex);burrowing charge;constrict;heat beam;hurl foe;poison;trample;web,26.0
Bhole,magical beast,,any underground,walk:50;burrow:50,breath weapon (su);immune to magical control (ex);overwhelming strength (ex);breath weapon;overwhelming strength;swallow whole;trample,17.0
Bhuta,undead,incorporeal,any aboveground natural area,fly:30,blood drain (su);cold iron weakness (su);bleed;blood drain,11.0
Bison,animal,,cold;temperate plains,walk:40,stampede;trample,4.0
Black Pudding,ooze,,any underground,walk:20;climb:20,acid (ex);corrosion (ex);split (ex);suction (ex);constrict;corrosion,7.0
Black Scorpion,vermin,,warm deserts,walk:60,poison (ex);rapid stinging (ex);constrict;poison;rapid stinging,15.0
Blindheim,magical beast,,any underground,walk:30;climb:20;swim:20,blinding gaze (ex);blinding gaze,2.0
Blink Dog,magical beast,,temperate plains;forests,walk:40,,2.0
Blood Golem,construct,,any,walk:10,blood drain (su);clotted skin (ex);immunity to magic (ex);vulnerable to bleed (ex);bleed;blood drain;constrict,6.0
Blood Hag,monstrous humanoid,shapechanger,any land,walk:30;fly:60,detonate (su);mask evil (su);blood drain;detonate,8.0
Boar,animal,,temperate;tropical forests,walk:40,,2.0
Bodak,undead,extraplanar,any land,walk:20,death gaze (su);vulnerability to sunlight (ex);death gaze,8.0
Bodythief,plant,,temperate;warm forests,walk:5,absorb essence (su);spawn pod creature (su);transfer (ex);vexing vines (ex);breath weapon;swallow whole;transfer,14.0
Bogeyman,fey,,any,walk:30,deepest fear (su);striking fear (su);terrible rejuvenation (su);sneak attack +6d6;striking fear,10.0
Boggard,humanoid,boggard,temperate marshes,walk:20;swim:30,hold breath (ex);sticky tongue (ex);swamp stride (ex);terrifying croak (su);terrifying croak,2.0
Boilborn,ooze,,any,walk:10;climb:10;swim:10,death throes (su);disease (su);death throes;disease,1.0
Bokrug,magical beast,aquatic; chaotic; extraplanar; great old one,any water,walk:50;swim:120,critical poisoning (su);immortality (ex);poison (ex);spines (ex);toxic breath (su);unspeakable presence (su);vengeful dreams (su);constrict;critical poisoning;mythic power;poison;powerful blows;vengeful dreams,27.0
Bone Devil,outsider,devil; evil; extraplanar; lawful,any,walk:40;fly:60,poison (ex),9.0
Bone Golem,construct,,any,walk:30,bone prison (ex);immunity to magic (ex);bone prison,8.0
Brachiosaurus,animal,,warm forests;plains,walk:30,trample,10.0
Brain Ooze,ooze,,any ruins;underground,walk:5;fly:60,neural pulse (su);prescience (su);psychic noise (su),7.0
Bralani Azata,outsider,azata; chaotic; extraplanar; good,any,walk:40;fly:100,whirlwind blast (su);wind form (su);whirlwind blast,6.0
Brass Golem,construct,,any,walk:40,brass falchion (ex);breath weapon (su);death throes (ex);immunity to magic (ex);breath weapon;heat,14.0
Brethedan,aberration,,any sky,walk:0;fly:30,adaptation (ex);combine (ex);constrict;engulf,5.0
Brijidine,outsider,azata; chaotic; earth; extraplanar; fire; good,any,walk:40;fly:60,flaming body (su);heat stone (su);lava blast (su);obsidian blade (ex);entrap;burn;trample,17.0
Broken Soul Lillend,outsider,azata; chaotic; extraplanar; evil,any,walk:20;fly:60,agonized wail;baleful gaze;bardic performance;constrict,9.0
Brownie,fey,,temperate forests;plains,walk:20,,1.0
Bugbear,humanoid,goblinoid,temperate mountains,walk:30,stalker (ex),2.0
Buggane,monstrous humanoid,,any underground,walk:30;burrow:30,blind (ex);earth distortion (su);smash and bash (ex);rend;smash and bash,5.0
Bulette,magical beast,,temperate hills,walk:40;burrow:20,leap (ex);savage bite (ex);leap;savage bite,7.0
Bull Shark,animal,aquatic,any oceans,swim:60,,2.0
Bunyip,magical beast,aquatic,any aquatic,walk:10;swim:50,blood rage (ex);roar (su);bleed;blood frenzy;roar,3.0
Bythos,outsider,aeon; extraplanar,any,fly:40,aging strike (su);confusion gaze (su);temporal strike (su);confusion gaze;temporal strike,16.0
Cacodaemon,outsider,daemon; evil; extraplanar,any,walk:5;fly:50,disease (su);soul lock (su);soul lock,2.0
Cairn Linnorm,dragon,,cold hills,walk:40;climb:40;fly:100,breath weapon (su);death curse (su);poison (ex);breath weapon;constrict;death curse,18.0
Camel,animal,,warm deserts,walk:50,spit (ex);spit,1.0
Cannon Golem,construct,,any land,walk:30,alloyed (ex);blasting critical (ex);cannon (ex);gun training (ex);immunity to magic (ex);cannon,15.0
Carbuncle,magical beast,,any forests;swamps,walk:20,empath (su);fatal faker (su);specious suggestion (su);vulnerability to suggestion (ex);fatal faker;specious suggestion,1.0
Carnivorous Blob,ooze,,any,walk:20;climb:20;swim:20,absorb flesh (ex);reactive strike (ex);vulnerable to cold (ex);absorb flesh;constrict,13.0
Carnivorous Crystal,ooze,earth; extraplanar,any underground,walk:10;climb:10,brittle (ex);crystallize (ex);razor sharp (ex);subsonic hum (su);crystallize;entrap;razor sharp,11.0
Carrion Golem,construct,,any land,walk:30,foul stench (ex);immune to magic (ex);plague carrier (ex);plague carrier,4.0
Caryatid Column,construct,,any,walk:20,immunity to magic (ex);shatter weapons (ex);statue (ex),3.0
Cassisian,outsider,angel; extraplanar; good,any good-aligned plane,fly:60,perfect memory (ex);lesser protective aura (su);breath weapon,2.0
Cat,animal,,temperate;hot plains;urban,walk:30,,0.25
Cat Lord,outsider,native; shapechanger,warm jungles,walk:30;climb:20,favored enemy;pounce;rake,11.0
Catfolk,humanoid,catfolk,any temperate;warm forest;plains;urban,walk:30,s luck (ex);sprinter (ex);favored enemy,0.5
Catoblepas,magical beast,,any swamps,walk:40;swim:20,poison breath (ex);breath weapon;trample,12.0
Catrina,outsider,extraplanar; psychopomp,any,walk:30,calm emotions aura (su);compel condemned (su);kiss of death (su);compel condemned;kiss of death,5.0
Cauchemar,outsider,evil; extraplanar,any,walk:40;fly:90,smoke,11.0
Caulborn,outsider,extraplanar,any,walk:30,consume thoughts (ex);cooperative scrying (sp);hive mind (ex);psychic deflection (su);thoughtsense (su);consume thoughts,7.0
Cave Fisher,vermin,,any underground,walk:20;climb:20,filament (ex);pull (ex);pull,2.0
Cave Giant,humanoid,giant,any underground,walk:40,axe wielder (ex);rock throwing,6.0
Cave Scorpion,vermin,,any underground,walk:60;climb:40,poison (ex);rend,1.0
Cecaelia,monstrous humanoid,aquatic,warm water,walk:200;swim:40,ink cloud (ex);tentacle sense (ex),5.0
Centaur,monstrous humanoid,,temperate forests;plains,walk:50,undersized weapons (ex),3.0
Centipede Swarm,vermin,swarm,temperate;warm forest;underground,walk:30;climb:30,poison (ex);distraction;poison,4.0
